Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.04980424497668157,-3.416321520086519,-60.23823487381826
10.29442419607396,-0.05043799056369204,-3.57693680067971,-61.42072919082086
10.5975169528713,-0.05171151691440334,-3.741904430274908,-62.60465762733371
10.9095334937942,-0.05310959434911674,-3.912697294467952,-63.79521207258352
11.23073655663941,-0.05379379047189021,-4.087495592736634,-64.99381588523687
11.5613966148401,-0.0548402085671273,-4.265714502206785,-66.19743465618248
11.90179210522173,-0.05602059907408977,-4.450110007637893,-67.40235383731162
12.25220966246363,-0.05693642969653386,-4.63770518417274,-68.61641571293046
12.61294436046368,-0.05784726343341452,-4.832146943322694,-69.83450995571903
12.98429996080916,-0.05867705753345916,-5.031041387630651,-71.05667649021338
13.36658916856357,-0.05964617292706942,-5.234366805856634,-72.28450160992134
13.76013389558409,-0.0602840096215638,-5.441286118919125,-73.52297247745938
14.1652655315918,-0.06109142239903467,-5.654560413599349,-74.7583415305353
14.58232522322308,-0.06182714661362099,-5.873045500047586,-75.99802790076581
15.01166416129673,-0.06258153636827078,-6.093948341293762,-77.24789202646278
15.4536438765389,-0.06241611789993515,-6.321630011795754,-78.50323216040302
15.90863654401519,-0.06304288595963323,-6.554808382390872,-79.757805700029
16.37702529652561,-0.06309116180162556,-6.790857162989139,-81.02368345692187
16.85920454722685,-0.06329437040155757,-7.032193626448154,-82.29449848201261
17.35558032175318,-0.0635280991978236,-7.277894035352778,-83.56940142817291
17.86657060011607,-0.06306570546918078,-7.531268861411863,-84.84985597055552
18.39260566866984,-0.06338954871261063,-7.785116561383825,-86.14793943204756
18.93412848244015,-0.06307293052918134,-8.045919216143032,-87.44914701674524
19.49159503812046,-0.06291157349378614,-8.313844096082406,-88.7581963619881
20.06547475805024,-0.06200198346887987,-8.586678322871537,-90.07613474370378
20.65625088549832,-0.06146621269997905,-8.862029269422649,-91.41138830857687
21.26442089158477,-0.06107421754533633,-9.142452663321556,-92.76310398874884
21.89049689418308,-0.05916763371504145,-9.429348785712232,-94.11081399909204
22.53500608915597,-0.0592189052116364,-9.722526547566757,-95.48703783201651
23.19849119428807,-0.05826394055992424,-10.01846590182555,-96.87797927095147
23.88151090628878,-0.05704761314682797,-10.3223284964378,-98.28453693392805
24.58464037125028,-0.05567568752202719,-10.63313472258301,-99.70349038474154
25.30847166895751,-0.05407108008786528,-10.9515243332748,-101.1476969069723
26.05361431145685,-0.05273543399534855,-11.2727245807271,-102.6171814436822
26.82069575630396,-0.05095889934045558,-11.60012910686043,-104.1209975459877
27.61036193492331,-0.04929087561105869,-11.93135428731144,-105.6532631593949
28.42327779652333,-0.04772160834309422,-12.27801256075916,-107.1922688833006
29.26012786802609,-0.04597020614447411,-12.62510104321147,-108.7871427733683
30.12161683048251,-0.04426867633395112,-12.98536070236738,-110.4065006017002
31.00847011245877,-0.04220124387995624,-13.35115077832649,-112.0661658147804
31.92143450089312,-0.04026353851064336,-13.72597426067392,-113.7748622096968
32.86127876993835,-0.03818832246488996,-14.11714390400474,-115.5120500844908
33.82879432831848,-0.03612450875083698,-14.51139997696939,-117.3118004130899
34.82479588574506,-0.03351182966432041,-14.91242776723364,-119.1816354103188
35.85012213895501,-0.03137315064494728,-15.33556545627343,-121.0939446657689
36.90563647794652,-0.02879533283605331,-15.7582577410594,-123.0921474773484
37.99222771300816,-0.02658920538717121,-16.20253811070863,-125.1390860020223
39.1108108231542,-0.02460759973973676,-16.66227153524866,-127.2684053114784
40.26232772659498,-0.02203710525977993,-17.12729233559035,-129.5322732819702
41.44774807389179,-0.02032699359110618,-17.61957548182601,-131.8906525170355
42.66807006446487,-0.01767747215978578,-18.14639508524304,-134.3801993009468
43.92432128714061,-0.01603438264835273,-18.70239764580309,-136.9830645085518
45.21755958544659,-0.01401401274071091,-19.27546096552127,-139.6684157458978
46.54887394838362,-0.01250499576948727,-19.8519987857898,-142.4028119583976
47.91938542742372,-0.01030774946480736,-20.40983158375075,-145.2648557148982
49.33024808050636,-0.008848603841700602,-20.95143053825423,-148.3161787536064
50.78264994382946,-0.007135706035855277,-21.51710894699584,-151.6304232564536
52.27781403225118,-0.005635027739570125,-22.12083923537838,-155.337121592173
53.81699936914602,-0.004157827924494423,-22.81335263413034,-159.6334896692836
55.40150204658327,-0.003014212849542575,-23.70643884292669,-164.8720414803039
57.03265631671877,-0.001827723157302572,-25.11864239099958,-172.1039279845097
58.71183571531989,-0.007410142034093539,-35.08540140049019,168.0036468547358
60.4404542183707,-0.009197612100660115,-36.64535957249026,167.1172189590595
62.21996743272958,-0.01082060950217683,-37.76791700201655,166.3712244234887
64.05187382184238,-0.01223967503349186,-38.7088454715301,165.6608108967016
65.9377159675449,-0.01358485724780966,-39.50838454562648,164.8881361158066
67.87908186901464,-0.01478450731868806,-40.27693810514236,164.1727864387365
69.87760627996681,-0.01618568053237875,-40.99021277934924,163.294622992367
71.93497208522184,-0.01768091491891642,-41.70052085977502,162.3816153793547
