  Frequency            , V(MID)               , V(IN)                , V(OUT)               
  1.164126029410e-02  ,1.503053740816e-07  ,1.000000000000e-01  ,3.328027430028e-02  
  1.166809617061e-02  ,1.506518604665e-07  ,1.000000000000e-01  ,3.335699240270e-02  
  1.169499391020e-02  ,1.509991455611e-07  ,1.000000000000e-01  ,3.343388735269e-02  
  1.172195365548e-02  ,1.513472311974e-07  ,1.000000000000e-01  ,3.351095955789e-02  
  1.174897554940e-02  ,1.516961192386e-07  ,1.000000000000e-01  ,3.358820942688e-02  
  1.177605973521e-02  ,1.520458115375e-07  ,1.000000000000e-01  ,3.366563736917e-02  
  1.180320635652e-02  ,1.523963099192e-07  ,1.000000000000e-01  ,3.374324379523e-02  
  1.183041555725e-02  ,1.527476162642e-07  ,1.000000000000e-01  ,3.382102911645e-02  
  1.185768748167e-02  ,1.530997324391e-07  ,1.000000000000e-01  ,3.389899374519e-02  
  1.188502227437e-02  ,1.534526602898e-07  ,1.000000000000e-01  ,3.397713809475e-02  
  1.191242008027e-02  ,1.538064016969e-07  ,1.000000000000e-01  ,3.405546257940e-02  
  1.193988104464e-02  ,1.541609585514e-07  ,1.000000000000e-01  ,3.413396761433e-02  
  1.196740531307e-02  ,1.545163327129e-07  ,1.000000000000e-01  ,3.421265361573e-02  
  1.199499303149e-02  ,1.548725260690e-07  ,1.000000000000e-01  ,3.429152100071e-02  
  1.202264434617e-02  ,1.552295405210e-07  ,1.000000000000e-01  ,3.437057018737e-02  
  1.205035940372e-02  ,1.555873779321e-07  ,1.000000000000e-01  ,3.444980159475e-02  
  1.207813835107e-02  ,1.559460402350e-07  ,1.000000000000e-01  ,3.452921564288e-02  
  1.210598133550e-02  ,1.563055293137e-07  ,1.000000000000e-01  ,3.460881275273e-02  
  1.213388850465e-02  ,1.566658470660e-07  ,1.000000000000e-01  ,3.468859334627e-02  
  1.216186000646e-02  ,1.570269954246e-07  ,1.000000000000e-01  ,3.476855784642e-02  
  1.218989598925e-02  ,1.573889762874e-07  ,1.000000000000e-01  ,3.484870667708e-02  
  1.221799660165e-02  ,1.577517915662e-07  ,1.000000000000e-01  ,3.492904026314e-02  
  1.224616199265e-02  ,1.581154431865e-07  ,1.000000000000e-01  ,3.500955903045e-02  
  1.227439231158e-02  ,1.584799331089e-07  ,1.000000000000e-01  ,3.509026340585e-02  
  1.230268770812e-02  ,1.588452632242e-07  ,1.000000000000e-01  ,3.517115381716e-02  
  1.233104833229e-02  ,1.592114354963e-07  ,1.000000000000e-01  ,3.525223069320e-02  
  1.235947433445e-02  ,1.595784518474e-07  ,1.000000000000e-01  ,3.533349446376e-02  
  1.238796586530e-02  ,1.599463142413e-07  ,1.000000000000e-01  ,3.541494555963e-02  
  1.241652307592e-02  ,1.603150246072e-07  ,1.000000000000e-01  ,3.549658441260e-02  
  1.244514611771e-02  ,1.606845849193e-07  ,1.000000000000e-01  ,3.557841145542e-02  
  1.247383514243e-02  ,1.610549971240e-07  ,1.000000000000e-01  ,3.566042712189e-02  
  1.250259030218e-02  ,1.614262631749e-07  ,1.000000000000e-01  ,3.574263184677e-02  
  1.253141174941e-02  ,1.617983850739e-07  ,1.000000000000e-01  ,3.582502606584e-02  
  1.256029963695e-02  ,1.621713647675e-07  ,1.000000000000e-01  ,3.590761021587e-02  
  1.258925411794e-02  ,1.625452042472e-07  ,1.000000000000e-01  ,3.599038473465e-02  
  1.261827534591e-02  ,1.629199054771e-07  ,1.000000000000e-01  ,3.607335006098e-02  
  1.264736347471e-02  ,1.632954704589e-07  ,1.000000000000e-01  ,3.615650663465e-02  
  1.267651865858e-02  ,1.636719011775e-07  ,1.000000000000e-01  ,3.623985489650e-02  
  1.270574105209e-02  ,1.640491996278e-07  ,1.000000000000e-01  ,3.632339528835e-02  
  1.273503081017e-02  ,1.644273678050e-07  ,1.000000000000e-01  ,3.640712825306e-02  
  1.276438808811e-02  ,1.648064077422e-07  ,1.000000000000e-01  ,3.649105423449e-02  
  1.279381304158e-02  ,1.651863213999e-07  ,1.000000000000e-01  ,3.657517367756e-02  
  1.282330582656e-02  ,1.655671108286e-07  ,1.000000000000e-01  ,3.665948702817e-02  
  1.285286659944e-02  ,1.659487780407e-07  ,1.000000000000e-01  ,3.674399473327e-02  
