Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.02039779514586286,-10.83150425294643,-83.98268460957917
10.29442419607396,-0.02065659360350365,-11.06450899068607,-84.78695814329681
10.5975169528713,-0.02053553256353155,-11.30094624747273,-85.58861351040962
10.9095334937942,-0.02043692542786028,-11.53810254953136,-86.39870998324034
11.23073655663941,-0.02036368496946517,-11.77404089127523,-87.20481399706806
11.5613966148401,-0.02024171559411106,-12.0116771607134,-88.02902005843923
11.90179210522173,-0.02002989868140828,-12.25156299141146,-88.85266779420877
12.25220966246363,-0.02010256764024305,-12.48933237516656,-89.68629440478887
12.61294436046368,-0.0198662742366653,-12.73032798603803,-90.52078379635668
12.98429996080916,-0.01950492161979285,-12.97506193346734,-91.3548234544826
13.36658916856357,-0.01956401647979865,-13.21694503522495,-92.20985718074888
13.76013389558409,-0.01919827103344076,-13.46058455423297,-93.08045273831775
14.1652655315918,-0.01911177979302122,-13.70756758263352,-93.93932767830654
14.58232522322308,-0.01906345152504945,-13.95331769489837,-94.82530494182413
15.01166416129673,-0.01865305257949943,-14.19957307903698,-95.72891134793383
15.4536438765389,-0.01842125586932296,-14.44693626225006,-96.63378084416078
15.90863654401519,-0.01778914140175393,-14.69853552014916,-97.55762327555016
16.37702529652561,-0.01764120921623378,-14.94969388291119,-98.50088180754972
16.85920454722685,-0.01718664424473281,-15.19953895640236,-99.46710766458557
17.35558032175318,-0.01686193981833803,-15.44653949311677,-100.4539009779026
17.86657060011607,-0.01643755885067544,-15.70051497327245,-101.4449445249964
18.39260566866984,-0.01613118639817662,-15.95396137364687,-102.4788815329683
18.93412848244015,-0.01557997556933411,-16.2060206848503,-103.5335489824795
19.49159503812046,-0.01529963664106547,-16.45586129170461,-104.6285731112133
20.06547475805024,-0.01498447177017281,-16.71336803371971,-105.7529292241996
20.65625088549832,-0.01462277642134379,-16.97992800748673,-106.8924936651428
21.26442089158477,-0.01415059102486528,-17.242289532096,-108.0670496858406
21.89049689418308,-0.01336736713762444,-17.50236535969256,-109.2660510276782
22.53500608915597,-0.01327448454676655,-17.75272526946098,-110.4986080531536
23.19849119428807,-0.0132012974632285,-18.00369941177574,-111.7603009459207
23.88151090628878,-0.01247927283097569,-18.25433985350185,-113.0663150289974
24.58464037125028,-0.01153305148702485,-18.50776664284135,-114.4456510996922
25.30847166895751,-0.0114104205618713,-18.76372747354423,-115.9090946747761
26.05361431145685,-0.01082772258368185,-19.03305875795596,-117.4694275438038
26.82069575630396,-0.01028670042845663,-19.32020770368121,-119.1227869029158
27.61036193492331,-0.009574299195273035,-19.62955065486167,-120.8319139765607
28.42327779652333,-0.009274995769066686,-19.95382916952797,-122.5677037888426
29.26012786802609,-0.008491828928487903,-20.27680238924761,-124.273164067466
30.12161683048251,-0.007980983429216703,-20.57564245524508,-125.9468215794197
31.00847011245877,-0.007609413616010261,-20.84596024721628,-127.6245781467317
31.92143450089312,-0.007071548114167794,-21.09072904193683,-129.3298936040228
32.86127876993835,-0.006294333025642444,-21.31693313108066,-131.0892018946311
33.82879432831848,-0.005823765258784376,-21.53504358874557,-132.9154809350916
34.82479588574506,-0.00539459738452232,-21.74493727785961,-134.8494338255267
35.85012213895501,-0.004872319259632761,-21.94614393921647,-136.9194341303464
36.90563647794652,-0.003936846524864445,-22.14526559979003,-139.140864229276
37.99222771300816,-0.003858692051556055,-22.34489777859492,-141.5117254699912
39.1108108231542,-0.003152979676796075,-22.55164871360654,-144.1016612814349
40.26232772659498,-0.002415547954152556,-22.76584747537947,-146.910581505336
41.44774807389179,-0.001925547319682689,-22.99246750995509,-149.9942545576772
42.66807006446487,-0.001339435944315379,-23.24974957151378,-153.4340363313198
43.92432128714061,-0.0009106569412036007,-23.54140524455037,-157.3267517306061
45.21755958544659,-0.0002883664974835048,-23.88566562260068,-161.8542320218795
46.54887394838362,0.0002440644335972645,-24.33546787663116,-167.3345310855621
47.91938542742372,0.0003254278405931128,-25.01517183386453,-174.7640757113319
49.33024808050636,-0.008148530382926518,-36.29163228330433,144.483005995607
