Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.05434476119141233,-2.943859680607291,-57.71141145997173
10.29442419607396,-0.05604479047518722,-3.09273533111059,-58.90680641983136
10.5975169528713,-0.05784264123157467,-3.247315097866134,-60.10656388825891
10.9095334937942,-0.05977483878584094,-3.40528731128555,-61.31900511449749
11.23073655663941,-0.06119889138461358,-3.568514420566414,-62.53489462983205
11.5613966148401,-0.06282199898420375,-3.737698867570327,-63.75773654465834
11.90179210522173,-0.06429379251134537,-3.912230531331347,-64.99027336654014
12.25220966246363,-0.06549578317059969,-4.090865073182538,-66.22853490621378
12.61294436046368,-0.06679386309252666,-4.273727138180138,-67.47577886813554
12.98429996080916,-0.06796706574902027,-4.463489024896409,-68.72668177123825
13.36658916856357,-0.06942327631448723,-4.656794605263757,-69.98245192769934
13.76013389558409,-0.07090563300119317,-4.85512679365524,-71.24762147182565
14.1652655315918,-0.07187907319982861,-5.059754386604753,-72.51510984622286
14.58232522322308,-0.0729418716480449,-5.268152888716028,-73.79386317291787
15.01166416129673,-0.07376033960878994,-5.482477343456052,-75.07489534057821
15.4536438765389,-0.07446737532282004,-5.702116870988463,-76.36183020398109
15.90863654401519,-0.07481843106885644,-5.92576905465,-77.65602190112686
16.37702529652561,-0.07558539057683664,-6.155049759606374,-78.95989675314692
16.85920454722685,-0.07626007410862697,-6.390679634875479,-80.26431171761256
17.35558032175318,-0.07657866785769964,-6.632446272653083,-81.57603875866766
17.86657060011607,-0.07666341980240933,-6.876445959669395,-82.89763578136299
18.39260566866984,-0.07677364201790426,-7.125908215505735,-84.23624111978978
18.93412848244015,-0.07634578721279811,-7.384051712848438,-85.56710476153577
19.49159503812046,-0.07632114221651219,-7.643615469923897,-86.91800607356592
20.06547475805024,-0.07589208468885381,-7.909786263088277,-88.27860411019651
20.65625088549832,-0.07533674172540494,-8.183254560229683,-89.64736298157092
21.26442089158477,-0.07439411287413983,-8.46286842027277,-91.01866289519069
21.89049689418308,-0.07451000069792343,-8.746703552963984,-92.41463590632581
22.53500608915597,-0.07284400236939616,-9.034103995014322,-93.82865778334934
23.19849119428807,-0.07156448156994384,-9.331041576498066,-95.2451209431249
23.88151090628878,-0.07036960804522946,-9.634304491085835,-96.68095723817237
24.58464037125028,-0.06915482098975272,-9.94087674028477,-98.14536706990097
25.30847166895751,-0.06778924833365957,-10.25565218979783,-99.62161136660438
26.05361431145685,-0.06590068662456727,-10.57941841206545,-101.1165361395654
26.82069575630396,-0.0640094800932945,-10.91002397351415,-102.6317937567838
27.61036193492331,-0.06212988992982506,-11.24487345259238,-104.176134828166
28.42327779652333,-0.06007192644146343,-11.5876310019917,-105.7527725789919
29.26012786802609,-0.05797069710284163,-11.93651192539944,-107.372649676662
30.12161683048251,-0.05551355652823001,-12.3010955437524,-109.0041321868269
31.00847011245877,-0.05294808837145447,-12.66456665451024,-110.6919463836615
31.92143450089312,-0.05048435851758873,-13.04819004977588,-112.3920002044098
32.86127876993835,-0.04778016475801988,-13.43545541865221,-114.1585809351702
33.82879432831848,-0.04525216189803467,-13.83673714788662,-115.9694710647713
34.82479588574506,-0.0426240836915782,-14.25233559768228,-117.8163921555702
35.85012213895501,-0.03953175707995094,-14.67049614170694,-119.7411503184583
36.90563647794652,-0.03669563113242751,-15.10939446942279,-121.7219618952115
37.99222771300816,-0.03384822060061501,-15.55985190444668,-123.7764774284181
39.1108108231542,-0.03109511862740072,-16.01931004534371,-125.9121924842178
40.26232772659498,-0.02843342503056314,-16.5084084928741,-128.1143591155147
41.44774807389179,-0.02558686998751273,-17.00604618040715,-130.4534005780795
42.66807006446487,-0.0229432551323207,-17.52729923570885,-132.8989094829442
43.92432128714061,-0.02023913545611591,-18.0894335752045,-135.4791262580282
45.21755958544659,-0.01781250988095658,-18.68606152998857,-138.1861546321844
46.54887394838362,-0.01565585697109414,-19.30203412919909,-140.9832774482195
47.91938542742372,-0.01355007101148866,-19.92116282181166,-143.8351923245592
49.33024808050636,-0.01144970234368484,-20.523416275541,-146.8451457014909
50.78264994382946,-0.009642911455607996,-21.1163370961005,-150.0778503540421
52.27781403225118,-0.007785250043721008,-21.75083824111116,-153.6351404945776
53.81699936914602,-0.005865962927547546,-22.44871411639716,-157.7024554696944
55.40150204658327,-0.004623135654396598,-23.30371703159915,-162.5512527354445
57.03265631671877,-0.003124881417947197,-24.52731745292685,-168.8728271591288
58.71183571531989,-0.006626864769466214,-33.53750579482779,169.2688462466984
60.4404542183707,-0.008882304115207742,-36.0564457811974,169.1269714680996
62.21996743272958,-0.01061203156997072,-37.31012952319087,168.4786702926293
64.05187382184238,-0.01258647694416355,-38.3165845734946,167.8130507339422
65.9377159675449,-0.01352405674138281,-39.15810526969508,167.0355038760453
67.87908186901464,-0.01513008495518789,-39.94423319734869,166.3704609891985
69.87760627996681,-0.01646448278152786,-40.67144569432024,165.507551584961
71.93497208522184,-0.0179162077439499,-41.35568778545694,164.6927396793167
74.05291171780111,-0.01945108954056819,-42.06296891124324,163.9777126426787
76.23320861774606,-0.02084463914551959,-42.70986295858532,163.0757314746619
78.47769873388772,-0.02217538056091298,-43.32658871038348,162.0807339935743
80.78827206983348,-0.02363085451266066,-43.97216598486998,161.3233780096703
83.16687427546998,-0.02514161652934381,-44.56162514665892,160.4734419017116
85.61550828532373,-0.02690681183951985,-45.2029626526795,159.4699026992749
88.13623600516053,-0.02839423444776794,-45.78953495610769,158.7800267192725
90.73118004824094,-0.02961777359959811,-46.40363104228551,157.7952305677863
93.40252552269526,-0.03102427806538079,-47.00925068343662,156.8246668804812
96.15252187152475,-0.03246108962875553,-47.59334658909349,155.9277531336846
98.98348476677548,-0.03439034718548422,-48.22958786925633,155.1377370402985
101.897798059481,-0.03568054120522236,-48.79072944040342,154.6571205451663
104.8979157870177,-0.03734607889852419,-49.36142587062023,153.3971121123428
107.9863642395603,-0.03927772595951218,-49.97184046198568,152.7396277056411
111.1657440873783,-0.04069023108193452,-50.53928492120691,151.9088094857403
114.4387325707671,-0.04242431354995735,-51.11292057750723,151.3536751809909
117.8080857544542,-0.04405414189810486,-51.72378449214987,150.3227163610988
121.2766408483804,-0.04552389565146168,-52.30180243569593,149.8790804644275
124.8473185968136,-0.04698328065412422,-52.94779133512808,148.6628669560313
128.5231257377992,-0.04860573258928255,-53.4976601612312,148.0828754156971
132.3071575350253,-0.05032798049372112,-54.08971043282732,147.3460032978693
136.2026003842331,-0.05231475560835525,-54.70864872955981,147.4430901550797
140.2127344963642,-0.05361290290622411,-55.20060991243056,147.0624074514755
144.3409366597062,-0.05519895702541719,-55.84443189771684,146.1368619175856
148.5906830833655,-0.05684094848009777,-56.44099816801151,145.6618359750692
152.9655523244556,-0.05828479558380795,-57.18426371442974,144.8360008449815
157.4692283014689,-0.06019451625061616,-57.78092013230292,144.4855868663323
162.1055033963733,-0.06146102670609722,-58.4065311916416,143.3413040005513
166.8782816480374,-0.06314351750372661,-59.00887343419718,143.9717143021194
171.7915820396798,-0.06437538755743782,-59.71693722052021,143.5584900739843
176.84954188311,-0.06569794552267137,-59.9338635881511,143.5736701882117
182.0564203026083,-0.0672061626681584,-60.67862345007435,141.7616581421303
187.4166018213777,-0.06860526843295743,-61.55216573816602,141.7324953796125
192.9346000535946,-0.07018733404989705,-62.19493669713182,142.1490448653445
198.6150615051576,-0.07144303960982128,-62.56259344794518,141.1528073048225
204.4627694863408,-0.07243270976178659,-63.31583157999333,142.4826377824846
210.4826481396475,-0.07384399078976883,-64.11297087165246,140.8654928947768
216.6797665862508,-0.07517617244006672,-64.36753161632141,142.0573452883
223.0593431945154,-0.07641618007029273,-65.31585674612793,140.9868184787425
229.626749974198,-0.07757261833685856,-65.86609132887504,140.863533960345
236.3875171000209,-0.07883286053312738,-66.4059010461429,140.8207276728205
243.3473375684297,-0.07966497476540005,-67.2374882058064,142.6675542198005
250.5120719914615,-0.0809283969085112,-67.39876141300422,143.6485763383505
257.8877535317523,-0.08171137480355345,-68.78946346780421,140.7054957183802
265.4805929828423,-0.08295407717263718,-68.82105529357582,142.9000526246342
273.2969839990628,-0.08412762177723476,-70.15742433459756,144.1745484702524
281.343508479399,-0.08481654416075224,-69.86598632371636,145.2558505432195
289.6269421098658,-0.08546672489380432,-70.75638958316328,145.1013976547363
298.1542600690709,-0.08649312934161313,-70.90783800055357,148.9402821743595
306.9326429017564,-0.08718522430797439,-71.57227282766594,146.3253670758209
315.969482565277,-0.08861996067074868,-72.95020860500105,154.8611336554068
325.2723886540949,-0.08904696575031165,-73.33207178874103,150.4230809849952
334.8491948075481,-0.08940073405728091,-73.34705571578883,146.1097962738873
344.7079653062705,-0.09044953420626428,-74.18948626360672,156.0834872816038
354.8570018628287,-0.0912811707872315,-74.83732912169157,156.1998474200648
365.3048506122958,-0.0915453979169823,-76.4357740379016,156.9862176296004
376.0603093086401,-0.09225396906159006,-75.81125151475617,160.1681743689846
387.1324347329914,-0.09247509354896787,-78.02877598228893,162.3598949503464
398.530550320032,-0.09314977365933833,-78.15472975695079,160.6522034300185
410.2642540089209,-0.09362235023521139,-76.85772347375439,160.4850133807689
422.3434263253659,-0.09423733562809927,-77.66141921299996,161.7396136193939
434.7782387016617,-0.0949551221587172,-79.61865465153318,158.4466462203066
447.5791620416806,-0.09504224901494476,-79.71865880255461,157.4881223116312
460.7569755380374,-0.09608761838562677,-80.33056267949659,169.4970516174421
474.322775748862,-0.09626738479342882,-80.53704822643697,175.9819971841862
488.2879859418048,-0.09652449155428512,-80.9017579186673,156.8954517846882
502.6643657131526,-0.09689009504550444,-80.55329468223232,176.2208555797591
517.4640208901636,-0.09742208999922918,-77.95782794051971,177.1468605152637
532.6994137249421,-0.09747541751412707,-79.77225228185296,-164.5630222683356
548.3833733884445,-0.09764109580104763,-81.40055767037276,175.914796036162
564.5291067734652,-0.0981820555195468,-80.20122898872839,-178.1581746519466
581.150209615678,-0.0978183187109314,-82.15470253622965,172.2720021687734
598.2606779421076,-0.09838479430997377,-81.05647881100069,-179.4270793724762
615.8749198566831,-0.09914670619739011,-81.3846726990699,-162.0689833873402
634.0077676727748,-0.0990099649106093,-82.49494524787657,-163.0207057726279
652.6744904029437,-0.09960301008922171,-79.30464202286137,-147.8690817506299
671.890806616429,-0.09916710082254601,-88.91584911616967,-147.0690571806165
691.6728976751816,-0.09963218873977406,-81.02134103906761,-155.6364928576541
712.0374213595964,-0.09995426823912695,-80.11913323668324,177.5413322892909
733.0015258954322,-0.0995629142061235,-81.34782416859295,-150.9066497615761
754.5828643937053,-0.1005433795253021,-79.54285720184207,-157.9389557749136
776.7996097157355,-0.1000398228887417,-83.7136072000622,-169.9028579655129
799.670469775846,-0.1008271201559734,-80.07755899605463,-169.7259471378012
823.2147032946282,-0.1006109308987158,-79.51266726965171,-158.4541145413958
847.4521360160065,-0.1008525899023293,-77.80906939432445,-162.6460370565344
