Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
25.30847166895751,-0.6382969119195459,-5.886229561350163,-89.28865647644551
26.05361431145685,-0.6348961011736558,-6.189727150584609,-91.10489494381397
26.82069575630396,-0.6274574123236453,-6.50126351626829,-92.93792407910153
27.61036193492331,-0.6157964019793394,-6.824652914400575,-94.77660924380623
28.42327779652333,-0.5999969295423222,-7.161463954698984,-96.62034640421092
29.26012786802609,-0.5804661865402528,-7.508390245749842,-98.47496423315647
30.12161683048251,-0.5574519322442463,-7.866069348861195,-100.3382939362941
31.00847011245877,-0.5306520313885035,-8.23823002716466,-102.2099667118591
31.92143450089312,-0.50058521276497,-8.620137222221627,-104.0975638061361
32.86127876993835,-0.4681820607006131,-9.016948101076947,-105.993894992227
33.82879432831848,-0.432984979921766,-9.426653498546916,-107.9047227278529
34.82479588574506,-0.3967657512926634,-9.85097552646271,-109.8398677784067
35.85012213895501,-0.3595439713290605,-10.29034580361045,-111.8026451343384
36.90563647794652,-0.3230631835221019,-10.74678032494899,-113.8072828067488
37.99222771300816,-0.2883759364060247,-11.21683381789704,-115.8761036764249
39.1108108231542,-0.255318397026229,-11.71392981805513,-117.9900969428282
40.26232772659498,-0.2226145171485416,-12.23232582391267,-120.1560465217947
41.44774807389179,-0.191271332877182,-12.76582988189029,-122.4148964988371
42.66807006446487,-0.1614475000367282,-13.33517233194094,-124.7392848941262
43.92432128714061,-0.1339605937366332,-13.93977187703701,-127.1436370115919
45.21755958544659,-0.1110909085189097,-14.56773509135522,-129.715147389872
46.54887394838362,-0.09695200744526286,-15.25869662410797,-132.4840602356614
47.91938542742372,-0.08480504834915947,-16.00103524470738,-135.4146763488031
49.33024808050636,-0.07259208600411489,-16.80598220168272,-138.5424881312729
50.78264994382946,-0.06125945730164668,-17.68280498400069,-141.8735673427359
52.27781403225118,-0.05096585969590162,-18.64182011079336,-145.4274367783011
53.81699936914602,-0.0416383212663807,-19.68944664729532,-149.2085295346361
55.40150204658327,-0.0332167301238071,-20.79681569184044,-153.3637693943782
57.03265631671877,-0.02607507103751464,-22.03610865347937,-158.0891390893434
58.71183571531989,-0.01960590169415674,-23.62965437047058,-164.0081690239712
60.4404542183707,-0.01417589546729863,-27.21363469271597,-174.2597149589517
62.21996743272958,-0.0200624747002465,-34.78276092583643,178.6737936881539
64.05187382184238,-0.02281984420572636,-36.35543332924918,178.4740323304948
65.9377159675449,-0.02538221492854844,-37.47219926706788,178.1351081931009
67.87908186901464,-0.02777431272083706,-38.3957281982543,177.9082938186781
69.87760627996681,-0.03005562547540484,-39.21043808267957,177.47338287805
71.93497208522184,-0.03245038274904503,-39.95283767590259,177.1043901911225
74.05291171780111,-0.03505744879279806,-40.64501150620955,176.6664350882077
76.23320861774606,-0.03755834294861449,-41.31920108040298,176.261711980714
78.47769873388772,-0.04024750780267908,-41.92214648285922,175.6339280277651
80.78827206983348,-0.04303329704879011,-42.56341375503545,175.1774854094423
83.16687427546998,-0.04600809609475409,-43.15531598550709,174.8212752528311
85.61550828532373,-0.04870868803558001,-43.7187056369505,174.0678646631367
88.13623600516053,-0.05214249599855648,-44.31728230668864,173.4359464312616
