#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B213B5
#Date Time: 2024-02-15 21:21:37.717
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 3.26429 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -3.3 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 MHz
#Period: 1 us
#Amplitude: 20 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-4.095232558139535e-05,3.280161086651944,3.266641784243134
-4.094232558139535e-05,3.266018454588248,3.265961100888692
-4.093232558139535e-05,3.25456965720335,3.265961100888691
-4.092232558139535e-05,3.249518717180605,3.264599734179807
-4.091232558139535e-05,3.260967514565499,3.264940075857028
-4.090232558139535e-05,3.274436687959496,3.264940075857028
-4.089232558139535e-05,3.279150898647394,3.265280417534249
-4.088232558139535e-05,3.268712289267052,3.266301442565912
-4.087232558139535e-05,3.254906386538202,3.26562075921147
-4.086232558139535e-05,3.245814694497254,3.265280417534249
-4.085232558139535e-05,3.2602940558958,3.264259392502585
-4.084232558139535e-05,3.272416311950398,3.265620759211469
-4.083232558139535e-05,3.277467251973145,3.263578709148142
-4.082232558139535e-05,3.269049018601897,3.26562075921147
-4.081232558139535e-05,3.252886010529102,3.264940075857028
-4.080232558139535e-05,3.248508529176059,3.263578709148143
-4.079232558139535e-05,3.260294055895795,3.265961100888691
-4.078232558139535e-05,3.273426499954946,3.265280417534249
-4.077232558139535e-05,3.280161086651944,3.265280417534249
-4.076232558139535e-05,3.271069394610988,3.265280417534248
-4.075232558139535e-05,3.251539093189711,3.264599734179807
-4.074232558139535e-05,3.247161611836654,3.266301442565913
-4.073232558139535e-05,3.25861040922155,3.264599734179806
-4.072232558139535e-05,3.276120334633745,3.263919050825363
-4.071232558139535e-05,3.284875297339838,3.265620759211469
-4.070232558139535e-05,3.269722477271597,3.264599734179806
-4.069232558139535e-05,3.252212551859402,3.264940075857028
-4.068232558139535e-05,3.243794318488155,3.264599734179806
-4.067232558139535e-05,3.259620597226107,3.265620759211469
-4.066232558139535e-05,3.275446875964045,3.264599734179806
-4.065232558139535e-05,3.282181462661043,3.263919050825363
-4.064232558139535e-05,3.273763229289796,3.265280417534249
-4.063232558139535e-05,3.25254928119425,3.266301442565913
-4.062232558139535e-05,3.247498341171506,3.266641784243134
-4.061232558139535e-05,3.256590033212451,3.2628980257937
-4.060232558139535e-05,3.276120334633745,3.264940075857028
-4.059232558139535e-05,3.284201838670136,3.264940075857028
-4.058232558139535e-05,3.270395935941303,3.265280417534249
-4.057232558139535e-05,3.252549281194252,3.265280417534249
-4.056232558139535e-05,3.245477965162404,3.264259392502585
-4.055232558139535e-05,3.25928386789125,3.26562075921147
-4.054232558139535e-05,3.277130522638287,3.26562075921147
-4.053232558139535e-05,3.282181462661043,3.264259392502585
-4.052232558139535e-05,3.270395935941297,3.266301442565913
-4.051232558139535e-05,3.249855446515453,3.265280417534249
-4.050232558139535e-05,3.24581469449726,3.265961100888691
-4.049232558139535e-05,3.2589471385564,3.265280417534249
-4.048232558139535e-05,3.275783605298895,3.263919050825363
-4.047232558139535e-05,3.283865109335292,3.265961100888692
-4.046232558139535e-05,3.272753041285236,3.264940075857028
-4.045232558139535e-05,3.250865634520003,3.264940075857028
-4.044232558139535e-05,3.242784130483605,3.263238367470921
-4.043232558139535e-05,3.257600221217001,3.263919050825363
-4.042232558139535e-05,3.277803981307997,3.265620759211469
-4.041232558139535e-05,3.28319165066559,3.26255768411648
-4.040232558139535e-05,3.271406123945846,3.266301442565913
-4.039232558139535e-05,3.252549281194252,3.264599734179806
-4.038232558139535e-05,3.243120859818455,3.265961100888692
-4.037232558139535e-05,3.256926762547295,3.265961100888692
-4.036232558139535e-05,3.275783605298895,3.263919050825363
-4.035232558139535e-05,3.284201838670143,3.266301442565913
-4.034232558139535e-05,3.272753041285246,3.266301442565913
-4.033232558139535e-05,3.252549281194248,3.264599734179806
-4.032232558139535e-05,3.242110671813906,3.264259392502585
-4.031232558139535e-05,3.256926762547301,3.263919050825363
-4.030232558139535e-05,3.276457063968595,3.264599734179806
-4.029232558139535e-05,3.285548756009536,3.264599734179806
-4.028232558139535e-05,3.271742853280696,3.264259392502585
-4.027232558139535e-05,3.253896198533652,3.264940075857028
-4.026232558139535e-05,3.244131047823005,3.266301442565913
-4.025232558139535e-05,3.254232927868511,3.265620759211469
-4.024232558139535e-05,3.274436687959486,3.264259392502586
-4.023232558139535e-05,3.284538568004992,3.263919050825363
-4.022232558139535e-05,3.276120334633745,3.265280417534249
-4.021232558139535e-05,3.252549281194252,3.26562075921147
-4.020232558139535e-05,3.24244740114876,3.266301442565912
-4.019232558139535e-05,3.254906386538202,3.264940075857028
-4.018232558139535e-05,3.274773417294345,3.264259392502585
